endpoint,model,primary,faith,null,faithful,consensus,stability
DILI,rf,shap,0.17318198085552458,0.006464646464646469,1,0.39597081072840634,0.35124684856969485
DILI,rf,shap,0.389019094484305,0.028855218855219023,1,0.4957404357086857,0.3883521340906318
DILI,rf,shap,0.12452304086104411,-0.017777777777777743,1,0.28969453490624525,0.25447228207341127
DILI,rf,shap,0.04004262745910342,-0.04994949494949493,1,0.40188845698595527,1.9752631179555762
DILI,rf,shap,0.08743463739697421,-0.01557713052858678,1,0.3313482579085478,0.4665464017365242
DILI,rf,shap,0.18772815921091326,0.033539562289562265,1,0.39400178543302455,0.31087790249526737
DILI,rf,shap,0.27360967148920656,-0.003333333333333336,1,0.3503408663497156,0.4539567980685079
DILI,rf,shap,0.23229278872720194,-0.006576576576576509,1,0.4425691185762544,0.562713820602096
DILI,rf,shap,0.29316019326248205,0.13308464102611106,1,0.3818687607900537,0.24261866599806498
DILI,rf,shap,-0.10023963488437175,0.009831081081080975,0,0.31949710983634433,1.980145562940406
DILI,rf,shap,0.21659030784030783,0.011111111111111108,1,0.43312625345554523,0.23602721557575942
DILI,rf,shap,0.1501351042530922,-0.016622517693946254,1,0.3948885221452305,0.4199993253007759
DILI,rf,shap,0.2220609757057126,0.04248316498316499,1,0.4276261368684455,0.3090813147686703
DILI,rf,shap,0.24364889456556119,0.04757575757575753,1,0.2825730407943771,0.39145662657828356
DILI,rf,shap,0.06994458744458742,0.0438888888888889,1,0.37590648407546656,0.2860600637398742
DILI,rf,shap,0.2963200104866769,0.038346560846560705,1,0.5036723249615103,0.35625348020383757
DILI,rf,shap,0.2215551948051948,0.03339339339339342,1,0.3887858943881155,0.21660773953963394
DILI,rf,shap,0.11807566540680574,-0.01899638143891021,1,0.3343725586157401,1.9526948184471296
DILI,rf,shap,0.14032115326194278,0.04430555555555552,1,0.33719308605198184,0.30297724993242103
DILI,rf,shap,0.21902737910019465,0.04104069483480791,1,0.4219193107961164,0.5495458085293686
DILI,rf,shap,0.13993776930673066,-0.015125661375661478,1,0.4450995480417479,0.5509756733608829
DILI,rf,shap,0.268870502227645,-0.006582491582491541,1,0.30670050076635835,0.31082496599945586
DILI,rf,shap,0.23430014430014426,0.052962962962962955,1,0.33858485162014607,0.3150545115106338
DILI,rf,shap,0.23586496766170095,0.045555555555555606,1,0.38776644079050654,0.3351377805618593
DILI,rf,shap,0.06370193245193245,0.038194444444444496,1,0.4450737093560943,0.48345468156586846
DILI,rf,shap,0.22207802462656823,0.0412962962962962,1,0.3845189877981234,0.21281388332423673
DILI,rf,shap,0.18424369174369173,0.019592449592449546,1,0.337455583608509,0.17794442218196665
DILI,rf,shap,0.2536143099761366,0.03875000000000003,1,0.4068858936885197,0.45779588499294693
DILI,rf,shap,0.24709717604045664,0.01442286947141321,1,0.40324498798277353,0.41334556799334243
DILI,rf,shap,0.09803553878553876,-0.007528058361391736,1,0.4130877654882591,0.12195905370451937
DILI,rf,shap,0.2924588170421503,0.0477777777777777,1,0.451051841627787,0.4162583662698628
DILI,rf,shap,0.06806903349257716,0.006634304207119783,1,0.3088104643471238,0.44672161181429443
DILI,rf,shap,0.31311395897171307,0.03545683422657094,1,0.4280454282674621,0.29921113139188804
DILI,mlp,ig,-0.002873500188191732,0.02957729498545329,0,0.42556847147364446,0.05898932800848016
DILI,mlp,ig,0.1508932113647461,-0.0009847283363342285,1,0.4234733304623853,0.12418720817063678
DILI,mlp,ig,0.7062272230784098,0.0022782087326049805,1,0.393441410092475,0.06948817956480494
DILI,mlp,ig,0.7511393825213114,-1.7007191975911457e-05,1,0.38225166594714,0.06837369120565034
DILI,mlp,ig,0.19641206661860147,-0.008673012256622314,1,0.4249613033666821,0.07381029419624989
DILI,mlp,ig,-0.08411478996276855,0.4873688022295634,0,0.3153516055736087,0.05430686826047285
DILI,mlp,ig,0.5816186467806498,-8.950630823771159e-05,1,0.2686020101502934,0.0957362686291036
DILI,mlp,ig,0.009796500205993652,-0.01842913031578064,1,0.4489802629867902,2.143149571172046
DILI,mlp,ig,0.7644704381624857,0.03793261448542277,1,0.44285925684851507,0.0825415397150168
DILI,mlp,ig,0.058758934338887535,-9.059906005859375e-06,1,0.4270998974146098,0.18013647323829313
DILI,mlp,ig,0.06527459621429443,-0.030199249585469563,1,0.45841309516304235,0.08679261223251111
DILI,mlp,ig,0.19157467285792032,0.022901395956675213,1,0.4810767898016522,0.1611401021264683
DILI,mlp,ig,0.8353094061215719,0.31890589992205304,1,0.25347565576407227,0.08145840666615767
