mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
3,794,0.8888888888888888,0.11040666244419602,0.6666666666666667,-0.1963683911211168,0.8888888888888888,0.11043838946109948,0.6666666666666667,-0.1963683911211168,0.2222222222222222,-0.0005233402674396833,1.0,-0.011050745844841003
3,725,0.1875,0.09892949198062222,0.5,0.10085726855322719,0.1875,0.0781442195487519,0.75,0.10128106902508686,0.6875,0.10191476764157414,0.5625,0.028060830974330504
3,114,1.0,0.06611621659588944,0.7777777777777778,0.04825365695120354,0.6666666666666667,0.007914237057169279,0.4444444444444444,0.04192419288059076,0.8888888888888888,-0.028951177627163815,0.0,0.04742920398712158
3,979,0.33333333333333337,0.03742155569731646,0.888888888888889,0.03699172014603391,0.4444444444444444,0.03742155569731646,0.7777777777777778,0.03703264715052986,0.33333333333333337,0.037303801878200225,0.5555555555555556,-0.030468035489320755
3,392,0.625,0.0392790522021258,0.0,0.03137833842386802,0.375,0.019036096675942343,0.0,0.03137833842386802,0.0,-0.02560818042022343,0.5,0.014610748427609602
3,144,1.0,0.0015344427855931524,0.888888888888889,0.0012353282844893936,0.8888888888888888,-0.011753838664541641,1.0,0.0015344427855931524,0.2222222222222222,-0.006588037723834835,0.6666666666666667,0.0021589166717603803
3,913,1.0,0.0367871518346116,0.6666666666666667,0.02502044600745042,0.7777777777777778,0.02893876462743113,0.6666666666666667,0.02502044600745042,1.0,0.036779450575825955,0.4444444444444444,-0.0017979803184668224
4,694,0.5,-0.23012223839759827,1.0,0.10480624437332153,0.5,-0.23012223839759827,1.0,0.10480624437332153,0.5,-0.23012223839759827,0.0,-0.23012223839759827
4,342,0.5,0.042011819779872894,0.5,0.042011819779872894,0.5,0.042011819779872894,0.5,0.042011819779872894,0.0,-0.18479320406913757,0.0,0.042011819779872894
4,728,1.0,0.7641197517514229,0.0,0.10317355394363403,0.5,0.10317355394363403,0.0,0.10317355394363403,1.0,0.7641197517514229,0.5,0.03120744228363037
4,621,0.5,0.024016529321670532,0.5,0.024016529321670532,0.5,0.024016529321670532,0.5,0.024016529321670532,0.0,-0.1539713442325592,1.0,-0.01566322147846222
5,33,0.6666666666666667,-0.3654082417488098,0.33333333333333337,-0.4206266403198242,0.6666666666666667,-0.3654082417488098,0.33333333333333337,-0.4206266403198242,0.0,-0.41724663972854614,0.7083333333333333,-0.11679411927858989
5,342,0.25,0.35064289284249145,0.25,0.35064289066940546,0.25,0.35064289284249145,0.5625,0.35375578577319783,0.75,0.35375578577319783,0.625,0.188344344496727
5,114,1.0,0.5492563611518554,1.0,0.5492563810381074,1.0,0.5492563611518554,1.0,0.5492563810381074,1.0,0.5492563811545227,0.5625,0.5420560505396376
5,392,0.6666666666666667,0.38543860815511205,0.33333333333333337,0.38543861227660187,0.6666666666666667,0.38543860815511205,0.08333333333333331,0.38543861227660176,0.33333333333333337,0.3854386120322501,0.5,-0.022189209858576458
5,674,0.25,0.09160877771986027,0.75,0.09824130164148907,0.25,0.09160874791753788,0.75,0.09824130164148907,0.75,0.09824130164148907,0.6875,0.03300482283035914
5,360,0.0,0.2533342360062913,0.0,0.25430932508364396,0.0,0.2543093250860693,0.0,0.2543093052178544,0.0,0.2543093250860693,0.125,-0.012019306421279907
5,790,0.0,0.10670757631305605,0.0,0.10783906866951536,0.0,0.10670757739959906,0.0,0.10783906370246162,0.75,0.10775085622056697,0.875,0.012269544104735056
6,80,1.0,0.04164199034372965,0.6666666666666667,-0.04901673396428426,0.6666666666666666,0.00892092784245809,0.6666666666666667,-0.04901673396428426,0.6666666666666667,0.030121246973673504,0.8333333333333334,-0.07829797267913818
6,33,0.25,0.18387827277183533,0.08333333333333333,0.18387827277183533,0.16666666666666666,0.18387827277183533,0.08333333333333333,0.18387827277183533,0.16666666666666666,-0.16820043325424194,0.5,-0.07588392496109009
6,1,0.8333333333333334,0.2804330512881279,0.33333333333333337,0.49048761775096256,0.33333333333333337,0.2769831145803134,0.33333333333333337,0.49048761775096256,1.0,0.5253868014551699,0.6666666666666667,-0.024264057477315266
